[2022-03-31 09:46:40] open
[2022-03-31 09:46:41] {"id":"xrpusdt","status":"ok","subbed":"market.xrpusdt.kline.1week","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"xrpusdt","status":"ok","subbed":"market.xrpusdt.trade.detail","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"xrpusdt","status":"ok","subbed":"market.xrpusdt.detail","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"linkusdt","status":"ok","subbed":"market.linkusdt.depth.step0","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"linkusdt","status":"ok","subbed":"market.linkusdt.kline.1min","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"linkusdt","status":"ok","subbed":"market.linkusdt.kline.5min","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"linkusdt","status":"ok","subbed":"market.linkusdt.kline.15min","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"linkusdt","status":"ok","subbed":"market.linkusdt.kline.30min","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"linkusdt","status":"ok","subbed":"market.linkusdt.kline.60min","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"linkusdt","status":"ok","subbed":"market.linkusdt.kline.4hour","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"linkusdt","status":"ok","subbed":"market.linkusdt.kline.1day","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"linkusdt","status":"ok","subbed":"market.linkusdt.kline.1week","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"linkusdt","status":"ok","subbed":"market.linkusdt.trade.detail","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"linkusdt","status":"ok","subbed":"market.linkusdt.detail","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"bchusdt","status":"ok","subbed":"market.bchusdt.depth.step0","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"bchusdt","status":"ok","subbed":"market.bchusdt.kline.1min","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"bchusdt","status":"ok","subbed":"market.bchusdt.kline.5min","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"bchusdt","status":"ok","subbed":"market.bchusdt.kline.15min","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"bchusdt","status":"ok","subbed":"market.bchusdt.kline.30min","ts":1648691201042}
[2022-03-31 09:46:41] {"id":"bchusdt","status":"ok","subbed":"market.bchusdt.kline.60min","ts":1648691201043}
[2022-03-31 09:46:41] {"id":"bchusdt","status":"ok","subbed":"market.bchusdt.kline.4hour","ts":1648691201043}
[2022-03-31 09:46:41] {"id":"bchusdt","status":"ok","subbed":"market.bchusdt.kline.1day","ts":1648691201043}
[2022-03-31 09:46:41] {"id":"bchusdt","status":"ok","subbed":"market.bchusdt.kline.1week","ts":1648691201043}
[2022-03-31 09:46:41] {"id":"bchusdt","status":"ok","subbed":"market.bchusdt.trade.detail","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"bchusdt","status":"ok","subbed":"market.bchusdt.detail","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dogeusdt","status":"ok","subbed":"market.dogeusdt.depth.step0","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dogeusdt","status":"ok","subbed":"market.dogeusdt.kline.1min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dogeusdt","status":"ok","subbed":"market.dogeusdt.kline.5min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dogeusdt","status":"ok","subbed":"market.dogeusdt.kline.15min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dogeusdt","status":"ok","subbed":"market.dogeusdt.kline.30min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dogeusdt","status":"ok","subbed":"market.dogeusdt.kline.60min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dogeusdt","status":"ok","subbed":"market.dogeusdt.kline.4hour","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dogeusdt","status":"ok","subbed":"market.dogeusdt.kline.1day","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dogeusdt","status":"ok","subbed":"market.dogeusdt.kline.1week","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dogeusdt","status":"ok","subbed":"market.dogeusdt.trade.detail","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dogeusdt","status":"ok","subbed":"market.dogeusdt.detail","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dotusdt","status":"ok","subbed":"market.dotusdt.depth.step0","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dotusdt","status":"ok","subbed":"market.dotusdt.kline.1min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dotusdt","status":"ok","subbed":"market.dotusdt.kline.5min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dotusdt","status":"ok","subbed":"market.dotusdt.kline.15min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dotusdt","status":"ok","subbed":"market.dotusdt.kline.30min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dotusdt","status":"ok","subbed":"market.dotusdt.kline.60min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dotusdt","status":"ok","subbed":"market.dotusdt.kline.4hour","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dotusdt","status":"ok","subbed":"market.dotusdt.kline.1day","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dotusdt","status":"ok","subbed":"market.dotusdt.kline.1week","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dotusdt","status":"ok","subbed":"market.dotusdt.trade.detail","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"dotusdt","status":"ok","subbed":"market.dotusdt.detail","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"neousdt","status":"ok","subbed":"market.neousdt.depth.step0","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"neousdt","status":"ok","subbed":"market.neousdt.kline.1min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"neousdt","status":"ok","subbed":"market.neousdt.kline.5min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"neousdt","status":"ok","subbed":"market.neousdt.kline.15min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"neousdt","status":"ok","subbed":"market.neousdt.kline.30min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"neousdt","status":"ok","subbed":"market.neousdt.kline.60min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"neousdt","status":"ok","subbed":"market.neousdt.kline.4hour","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"neousdt","status":"ok","subbed":"market.neousdt.kline.1day","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"neousdt","status":"ok","subbed":"market.neousdt.kline.1week","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"neousdt","status":"ok","subbed":"market.neousdt.trade.detail","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"neousdt","status":"ok","subbed":"market.neousdt.detail","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"apeusdt","status":"ok","subbed":"market.apeusdt.depth.step0","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"apeusdt","status":"ok","subbed":"market.apeusdt.kline.1min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"apeusdt","status":"ok","subbed":"market.apeusdt.kline.5min","ts":1648691201044}
[2022-03-31 09:46:41] {"id":"apeusdt","status":"ok","subbed":"market.apeusdt.kline.15min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"apeusdt","status":"ok","subbed":"market.apeusdt.kline.30min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"apeusdt","status":"ok","subbed":"market.apeusdt.kline.60min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"apeusdt","status":"ok","subbed":"market.apeusdt.kline.4hour","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"apeusdt","status":"ok","subbed":"market.apeusdt.kline.1day","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"apeusdt","status":"ok","subbed":"market.apeusdt.kline.1week","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"apeusdt","status":"ok","subbed":"market.apeusdt.trade.detail","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"apeusdt","status":"ok","subbed":"market.apeusdt.detail","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"lunausdt","status":"ok","subbed":"market.lunausdt.depth.step0","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"lunausdt","status":"ok","subbed":"market.lunausdt.kline.1min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"lunausdt","status":"ok","subbed":"market.lunausdt.kline.5min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"lunausdt","status":"ok","subbed":"market.lunausdt.kline.15min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"lunausdt","status":"ok","subbed":"market.lunausdt.kline.30min","ts":1648691201045}
